"units","scenario","year","value","variable","source"
"W/m^2","GCAM_2p6_open",2092,1.86385,"RF_CO2","gcam xmldb"
"W/m^2","GCAM_2p6_open",2093,1.85022,"RF_CO2","gcam xmldb"
"W/m^2","GCAM_2p6_open",2094,1.83666,"RF_CO2","gcam xmldb"
"W/m^2","GCAM_2p6_open",2095,1.82316,"RF_CO2","gcam xmldb"
"W/m^2","GCAM_2p6_open",2096,1.80971,"RF_CO2","gcam xmldb"
"W/m^2","GCAM_2p6_open",2097,1.79619,"RF_CO2","gcam xmldb"
"W/m^2","GCAM_2p6_open",2098,1.78272,"RF_CO2","gcam xmldb"
"W/m^2","GCAM_2p6_open",2099,1.76928,"RF_CO2","gcam xmldb"
"W/m^2","GCAM_2p6_open",2100,1.75589,"RF_CO2","gcam xmldb"
"W/m^2","GCAM_2p6_open",1976,0.383154,"RF_tot","gcam xmldb"
"W/m^2","GCAM_2p6_open",1977,0.512006,"RF_tot","gcam xmldb"
"W/m^2","GCAM_2p6_open",1978,0.580813,"RF_tot","gcam xmldb"
"W/m^2","GCAM_2p6_open",1979,0.607994,"RF_tot","gcam xmldb"
"W/m^2","GCAM_2p6_open",1980,0.613136,"RF_tot","gcam xmldb"
"W/m^2","GCAM_2p6_open",1981,0.655905,"RF_tot","gcam xmldb"
"W/m^2","GCAM_2p6_open",1982,0.448068,"RF_tot","gcam xmldb"
"W/m^2","GCAM_2p6_open",1983,0.0226605,"RF_tot","gcam xmldb"
"W/m^2","GCAM_2p6_open",1984,0.497674,"RF_tot","gcam xmldb"
"W/m^2","GCAM_2p6_open",1985,0.751914,"RF_tot","gcam xmldb"
"W/m^2","GCAM_2p6_open",1986,0.81282,"RF_tot","gcam xmldb"
"W/m^2","GCAM_2p6_open",1987,0.892627,"RF_tot","gcam xmldb"
"W/m^2","GCAM_2p6_open",1988,0.992152,"RF_tot","gcam xmldb"
"W/m^2","GCAM_2p6_open",1989,1.07647,"RF_tot","gcam xmldb"
"W/m^2","GCAM_2p6_open",1990,1.11103,"RF_tot","gcam xmldb"
"W/m^2","GCAM_2p6_open",1991,0.530465,"RF_tot","gcam xmldb"
"W/m^2","GCAM_2p6_open",1992,-0.584517,"RF_tot","gcam xmldb"
"W/m^2","GCAM_2p6_open",1993,0.316224,"RF_tot","gcam xmldb"
"W/m^2","GCAM_2p6_open",1994,1.04551,"RF_tot","gcam xmldb"
"W/m^2","GCAM_2p6_open",1995,1.31107,"RF_tot","gcam xmldb"
"W/m^2","GCAM_2p6_open",1996,1.42654,"RF_tot","gcam xmldb"
"W/m^2","GCAM_2p6_open",1997,1.36829,"RF_tot","gcam xmldb"
"W/m^2","GCAM_2p6_open",1998,1.43978,"RF_tot","gcam xmldb"
"W/m^2","GCAM_2p6_open",1999,1.60375,"RF_tot","gcam xmldb"
"W/m^2","GCAM_2p6_open",2000,1.66116,"RF_tot","gcam xmldb"
"W/m^2","GCAM_2p6_open",2001,1.68901,"RF_tot","gcam xmldb"
"W/m^2","GCAM_2p6_open",2002,1.65489,"RF_tot","gcam xmldb"
"W/m^2","GCAM_2p6_open",2003,1.64521,"RF_tot","gcam xmldb"
"W/m^2","GCAM_2p6_open",2004,1.70263,"RF_tot","gcam xmldb"
"W/m^2","GCAM_2p6_open",2005,1.71893,"RF_tot","gcam xmldb"
"W/m^2","GCAM_2p6_open",2006,1.76119,"RF_tot","gcam xmldb"
"W/m^2","GCAM_2p6_open",2007,1.82742,"RF_tot","gcam xmldb"
"W/m^2","GCAM_2p6_open",2008,1.9101,"RF_tot","gcam xmldb"
"W/m^2","GCAM_2p6_open",2009,1.95578,"RF_tot","gcam xmldb"
"W/m^2","GCAM_2p6_open",2010,2.06064,"RF_tot","gcam xmldb"
"W/m^2","GCAM_2p6_open",2011,2.09359,"RF_tot","gcam xmldb"
"W/m^2","GCAM_2p6_open",2012,2.18796,"RF_tot","gcam xmldb"
"W/m^2","GCAM_2p6_open",2013,2.27299,"RF_tot","gcam xmldb"
"W/m^2","GCAM_2p6_open",2014,2.32213,"RF_tot","gcam xmldb"
"W/m^2","GCAM_2p6_open",2015,2.37607,"RF_tot","gcam xmldb"
"W/m^2","GCAM_2p6_open",2016,2.44075,"RF_tot","gcam xmldb"
"W/m^2","GCAM_2p6_open",2017,2.4978,"RF_tot","gcam xmldb"
"W/m^2","GCAM_2p6_open",2018,2.55479,"RF_tot","gcam xmldb"
"W/m^2","GCAM_2p6_open",2019,2.61114,"RF_tot","gcam xmldb"
"W/m^2","GCAM_2p6_open",2020,2.66752,"RF_tot","gcam xmldb"
"W/m^2","GCAM_2p6_open",2021,2.72383,"RF_tot","gcam xmldb"
"W/m^2","GCAM_2p6_open",2022,2.75417,"RF_tot","gcam xmldb"
"W/m^2","GCAM_2p6_open",2023,2.78695,"RF_tot","gcam xmldb"
"W/m^2","GCAM_2p6_open",2024,2.81987,"RF_tot","gcam xmldb"
"W/m^2","GCAM_2p6_open",2025,2.86695,"RF_tot","gcam xmldb"
"W/m^2","GCAM_2p6_open",2026,2.94605,"RF_tot","gcam xmldb"
"W/m^2","GCAM_2p6_open",2027,3.01808,"RF_tot","gcam xmldb"
"W/m^2","GCAM_2p6_open",2028,3.08222,"RF_tot","gcam xmldb"
"W/m^2","GCAM_2p6_open",2029,3.13901,"RF_tot","gcam xmldb"
"W/m^2","GCAM_2p6_open",2030,3.18887,"RF_tot","gcam xmldb"
"W/m^2","GCAM_2p6_open",2031,3.20797,"RF_tot","gcam xmldb"
"W/m^2","GCAM_2p6_open",2032,3.22336,"RF_tot","gcam xmldb"
"W/m^2","GCAM_2p6_open",2033,3.23622,"RF_tot","gcam xmldb"
"W/m^2","GCAM_2p6_open",2034,3.24662,"RF_tot","gcam xmldb"
"W/m^2","GCAM_2p6_open",2035,3.25462,"RF_tot","gcam xmldb"
"W/m^2","GCAM_2p6_open",2036,3.2459,"RF_tot","gcam xmldb"
"W/m^2","GCAM_2p6_open",2037,3.23572,"RF_tot","gcam xmldb"
"W/m^2","GCAM_2p6_open",2038,3.22575,"RF_tot","gcam xmldb"
"W/m^2","GCAM_2p6_open",2039,3.21585,"RF_tot","gcam xmldb"
"W/m^2","GCAM_2p6_open",2040,3.20593,"RF_tot","gcam xmldb"
"W/m^2","GCAM_2p6_open",2041,3.19683,"RF_tot","gcam xmldb"
"W/m^2","GCAM_2p6_open",2042,3.18688,"RF_tot","gcam xmldb"
"W/m^2","GCAM_2p6_open",2043,3.17681,"RF_tot","gcam xmldb"
"W/m^2","GCAM_2p6_open",2044,3.16657,"RF_tot","gcam xmldb"
"W/m^2","GCAM_2p6_open",2045,3.15611,"RF_tot","gcam xmldb"
"W/m^2","GCAM_2p6_open",2046,3.14406,"RF_tot","gcam xmldb"
"W/m^2","GCAM_2p6_open",2047,3.132,"RF_tot","gcam xmldb"
"W/m^2","GCAM_2p6_open",2048,3.11995,"RF_tot","gcam xmldb"
"W/m^2","GCAM_2p6_open",2049,3.10788,"RF_tot","gcam xmldb"
"W/m^2","GCAM_2p6_open",2050,3.09576,"RF_tot","gcam xmldb"
"W/m^2","GCAM_2p6_open",2051,3.08177,"RF_tot","gcam xmldb"
"W/m^2","GCAM_2p6_open",2052,3.07042,"RF_tot","gcam xmldb"
"W/m^2","GCAM_2p6_open",2053,3.05942,"RF_tot","gcam xmldb"
"W/m^2","GCAM_2p6_open",2054,3.04875,"RF_tot","gcam xmldb"
"W/m^2","GCAM_2p6_open",2055,3.03833,"RF_tot","gcam xmldb"
"W/m^2","GCAM_2p6_open",2056,3.03066,"RF_tot","gcam xmldb"
"W/m^2","GCAM_2p6_open",2057,3.02093,"RF_tot","gcam xmldb"
"W/m^2","GCAM_2p6_open",2058,3.01144,"RF_tot","gcam xmldb"
"W/m^2","GCAM_2p6_open",2059,3.00214,"RF_tot","gcam xmldb"
"W/m^2","GCAM_2p6_open",2060,2.99301,"RF_tot","gcam xmldb"
"W/m^2","GCAM_2p6_open",2061,2.98479,"RF_tot","gcam xmldb"
"W/m^2","GCAM_2p6_open",2062,2.97443,"RF_tot","gcam xmldb"
"W/m^2","GCAM_2p6_open",2063,2.96438,"RF_tot","gcam xmldb"
"W/m^2","GCAM_2p6_open",2064,2.95454,"RF_tot","gcam xmldb"
"W/m^2","GCAM_2p6_open",2065,2.94494,"RF_tot","gcam xmldb"
"W/m^2","GCAM_2p6_open",2066,2.9346,"RF_tot","gcam xmldb"
"W/m^2","GCAM_2p6_open",2067,2.92405,"RF_tot","gcam xmldb"
"W/m^2","GCAM_2p6_open",2068,2.91373,"RF_tot","gcam xmldb"
"W/m^2","GCAM_2p6_open",2069,2.9036,"RF_tot","gcam xmldb"
"W/m^2","GCAM_2p6_open",2070,2.89366,"RF_tot","gcam xmldb"
"W/m^2","GCAM_2p6_open",2071,2.88378,"RF_tot","gcam xmldb"
"W/m^2","GCAM_2p6_open",2072,2.87365,"RF_tot","gcam xmldb"
"W/m^2","GCAM_2p6_open",2073,2.86374,"RF_tot","gcam xmldb"
"W/m^2","GCAM_2p6_open",2074,2.85403,"RF_tot","gcam xmldb"
"W/m^2","GCAM_2p6_open",2075,2.8445,"RF_tot","gcam xmldb"
"W/m^2","GCAM_2p6_open",2076,2.83493,"RF_tot","gcam xmldb"
"W/m^2","GCAM_2p6_open",2077,2.82528,"RF_tot","gcam xmldb"
"W/m^2","GCAM_2p6_open",2078,2.81582,"RF_tot","gcam xmldb"
"W/m^2","GCAM_2p6_open",2079,2.80654,"RF_tot","gcam xmldb"
"W/m^2","GCAM_2p6_open",2080,2.79742,"RF_tot","gcam xmldb"
"W/m^2","GCAM_2p6_open",2081,2.78795,"RF_tot","gcam xmldb"
"W/m^2","GCAM_2p6_open",2082,2.77846,"RF_tot","gcam xmldb"
"W/m^2","GCAM_2p6_open",2083,2.76909,"RF_tot","gcam xmldb"
"W/m^2","GCAM_2p6_open",2084,2.75983,"RF_tot","gcam xmldb"
"W/m^2","GCAM_2p6_open",2085,2.75068,"RF_tot","gcam xmldb"
"W/m^2","GCAM_2p6_open",2086,2.74106,"RF_tot","gcam xmldb"
"W/m^2","GCAM_2p6_open",2087,2.73148,"RF_tot","gcam xmldb"
"W/m^2","GCAM_2p6_open",2088,2.72195,"RF_tot","gcam xmldb"
"W/m^2","GCAM_2p6_open",2089,2.71245,"RF_tot","gcam xmldb"
"W/m^2","GCAM_2p6_open",2090,2.70297,"RF_tot","gcam xmldb"
"W/m^2","GCAM_2p6_open",2091,2.6934,"RF_tot","gcam xmldb"
"W/m^2","GCAM_2p6_open",2092,2.68319,"RF_tot","gcam xmldb"
"W/m^2","GCAM_2p6_open",2093,2.67303,"RF_tot","gcam xmldb"
"W/m^2","GCAM_2p6_open",2094,2.66288,"RF_tot","gcam xmldb"
"W/m^2","GCAM_2p6_open",2095,2.65274,"RF_tot","gcam xmldb"
"W/m^2","GCAM_2p6_open",2096,2.64236,"RF_tot","gcam xmldb"
"W/m^2","GCAM_2p6_open",2097,2.63186,"RF_tot","gcam xmldb"
"W/m^2","GCAM_2p6_open",2098,2.62135,"RF_tot","gcam xmldb"
"W/m^2","GCAM_2p6_open",2099,2.61083,"RF_tot","gcam xmldb"
"W/m^2","GCAM_2p6_open",2100,2.60032,"RF_tot","gcam xmldb"
"degreesC","GCAM_2p6_open",1976,0.100269,"gmst","gcam xmldb"
"degreesC","GCAM_2p6_open",1977,0.120862,"gmst","gcam xmldb"
"degreesC","GCAM_2p6_open",1978,0.141714,"gmst","gcam xmldb"
"degreesC","GCAM_2p6_open",1979,0.159493,"gmst","gcam xmldb"
"degreesC","GCAM_2p6_open",1980,0.173513,"gmst","gcam xmldb"
"degreesC","GCAM_2p6_open",1981,0.187989,"gmst","gcam xmldb"
"degreesC","GCAM_2p6_open",1982,0.183148,"gmst","gcam xmldb"
"degreesC","GCAM_2p6_open",1983,0.146355,"gmst","gcam xmldb"
"degreesC","GCAM_2p6_open",1984,0.157532,"gmst","gcam xmldb"
"degreesC","GCAM_2p6_open",1985,0.188321,"gmst","gcam xmldb"
"degreesC","GCAM_2p6_open",1986,0.215748,"gmst","gcam xmldb"
"degreesC","GCAM_2p6_open",1987,0.242095,"gmst","gcam xmldb"
"degreesC","GCAM_2p6_open",1988,0.27001,"gmst","gcam xmldb"
"degreesC","GCAM_2p6_open",1989,0.298248,"gmst","gcam xmldb"
"degreesC","GCAM_2p6_open",1990,0.322944,"gmst","gcam xmldb"
"degreesC","GCAM_2p6_open",1991,0.296353,"gmst","gcam xmldb"
"degreesC","GCAM_2p6_open",1992,0.188759,"gmst","gcam xmldb"
"degreesC","GCAM_2p6_open",1993,0.181627,"gmst","gcam xmldb"
"degreesC","GCAM_2p6_open",1994,0.238899,"gmst","gcam xmldb"
"degreesC","GCAM_2p6_open",1995,0.301649,"gmst","gcam xmldb"
"degreesC","GCAM_2p6_open",1996,0.3554,"gmst","gcam xmldb"
"degreesC","GCAM_2p6_open",1997,0.390187,"gmst","gcam xmldb"
"degreesC","GCAM_2p6_open",1998,0.4223,"gmst","gcam xmldb"
"degreesC","GCAM_2p6_open",1999,0.460964,"gmst","gcam xmldb"
"degreesC","GCAM_2p6_open",2000,0.496196,"gmst","gcam xmldb"
"degreesC","GCAM_2p6_open",2001,0.526278,"gmst","gcam xmldb"
"degreesC","GCAM_2p6_open",2002,0.547918,"gmst","gcam xmldb"
"degreesC","GCAM_2p6_open",2003,0.56536,"gmst","gcam xmldb"
"degreesC","GCAM_2p6_open",2004,0.585223,"gmst","gcam xmldb"
"degreesC","GCAM_2p6_open",2005,0.603615,"gmst","gcam xmldb"
"degreesC","GCAM_2p6_open",2006,0.622668,"gmst","gcam xmldb"
"degreesC","GCAM_2p6_open",2007,0.644144,"gmst","gcam xmldb"
"degreesC","GCAM_2p6_open",2008,0.668657,"gmst","gcam xmldb"
"degreesC","GCAM_2p6_open",2009,0.692422,"gmst","gcam xmldb"
"degreesC","GCAM_2p6_open",2010,0.720239,"gmst","gcam xmldb"
"degreesC","GCAM_2p6_open",2011,0.745554,"gmst","gcam xmldb"
"degreesC","GCAM_2p6_open",2012,0.77372,"gmst","gcam xmldb"
"degreesC","GCAM_2p6_open",2013,0.803547,"gmst","gcam xmldb"
"degreesC","GCAM_2p6_open",2014,0.83169,"gmst","gcam xmldb"
"degreesC","GCAM_2p6_open",2015,0.858982,"gmst","gcam xmldb"
"degreesC","GCAM_2p6_open",2016,0.886655,"gmst","gcam xmldb"
"degreesC","GCAM_2p6_open",2017,0.914075,"gmst","gcam xmldb"
"degreesC","GCAM_2p6_open",2018,0.941303,"gmst","gcam xmldb"
"degreesC","GCAM_2p6_open",2019,0.968379,"gmst","gcam xmldb"
"degreesC","GCAM_2p6_open",2020,0.995374,"gmst","gcam xmldb"
"degreesC","GCAM_2p6_open",2021,1.02233,"gmst","gcam xmldb"
"degreesC","GCAM_2p6_open",2022,1.04721,"gmst","gcam xmldb"
"degreesC","GCAM_2p6_open",2023,1.07073,"gmst","gcam xmldb"
"degreesC","GCAM_2p6_open",2024,1.09332,"gmst","gcam xmldb"
"degreesC","GCAM_2p6_open",2025,1.11635,"gmst","gcam xmldb"
"degreesC","GCAM_2p6_open",2026,1.14224,"gmst","gcam xmldb"
"degreesC","GCAM_2p6_open",2027,1.16966,"gmst","gcam xmldb"
"degreesC","GCAM_2p6_open",2028,1.19751,"gmst","gcam xmldb"
"degreesC","GCAM_2p6_open",2029,1.22511,"gmst","gcam xmldb"
"degreesC","GCAM_2p6_open",2030,1.25201,"gmst","gcam xmldb"
"degreesC","GCAM_2p6_open",2031,1.27601,"gmst","gcam xmldb"
"degreesC","GCAM_2p6_open",2032,1.29757,"gmst","gcam xmldb"
"degreesC","GCAM_2p6_open",2033,1.31721,"gmst","gcam xmldb"
"degreesC","GCAM_2p6_open",2034,1.33522,"gmst","gcam xmldb"
"degreesC","GCAM_2p6_open",2035,1.35179,"gmst","gcam xmldb"
"degreesC","GCAM_2p6_open",2036,1.36592,"gmst","gcam xmldb"
"degreesC","GCAM_2p6_open",2037,1.37801,"gmst","gcam xmldb"
"degreesC","GCAM_2p6_open",2038,1.38859,"gmst","gcam xmldb"
"degreesC","GCAM_2p6_open",2039,1.39795,"gmst","gcam xmldb"
"degreesC","GCAM_2p6_open",2040,1.40632,"gmst","gcam xmldb"
"degreesC","GCAM_2p6_open",2041,1.4139,"gmst","gcam xmldb"
"degreesC","GCAM_2p6_open",2042,1.42074,"gmst","gcam xmldb"
"degreesC","GCAM_2p6_open",2043,1.42692,"gmst","gcam xmldb"
"degreesC","GCAM_2p6_open",2044,1.4325,"gmst","gcam xmldb"
"degreesC","GCAM_2p6_open",2045,1.43753,"gmst","gcam xmldb"
"degreesC","GCAM_2p6_open",2046,1.44196,"gmst","gcam xmldb"
"degreesC","GCAM_2p6_open",2047,1.44585,"gmst","gcam xmldb"
"degreesC","GCAM_2p6_open",2048,1.44928,"gmst","gcam xmldb"
"degreesC","GCAM_2p6_open",2049,1.45229,"gmst","gcam xmldb"
"degreesC","GCAM_2p6_open",2050,1.45493,"gmst","gcam xmldb"
"degreesC","GCAM_2p6_open",2051,1.45707,"gmst","gcam xmldb"
"degreesC","GCAM_2p6_open",2052,1.45899,"gmst","gcam xmldb"
"degreesC","GCAM_2p6_open",2053,1.46072,"gmst","gcam xmldb"
"degreesC","GCAM_2p6_open",2054,1.46228,"gmst","gcam xmldb"
"degreesC","GCAM_2p6_open",2055,1.46368,"gmst","gcam xmldb"
"degreesC","GCAM_2p6_open",2056,1.46512,"gmst","gcam xmldb"
"degreesC","GCAM_2p6_open",2057,1.4664,"gmst","gcam xmldb"
"degreesC","GCAM_2p6_open",2058,1.46752,"gmst","gcam xmldb"
"degreesC","GCAM_2p6_open",2059,1.4685,"gmst","gcam xmldb"
"degreesC","GCAM_2p6_open",2060,1.46937,"gmst","gcam xmldb"
"degreesC","GCAM_2p6_open",2061,1.47018,"gmst","gcam xmldb"
"degreesC","GCAM_2p6_open",2062,1.47075,"gmst","gcam xmldb"
"degreesC","GCAM_2p6_open",2063,1.47113,"gmst","gcam xmldb"
"degreesC","GCAM_2p6_open",2064,1.47137,"gmst","gcam xmldb"
"degreesC","GCAM_2p6_open",2065,1.47149,"gmst","gcam xmldb"
"degreesC","GCAM_2p6_open",2066,1.47143,"gmst","gcam xmldb"
"degreesC","GCAM_2p6_open",2067,1.4712,"gmst","gcam xmldb"
"degreesC","GCAM_2p6_open",2068,1.47083,"gmst","gcam xmldb"
"degreesC","GCAM_2p6_open",2069,1.47035,"gmst","gcam xmldb"
"degreesC","GCAM_2p6_open",2070,1.46977,"gmst","gcam xmldb"
"degreesC","GCAM_2p6_open",2071,1.46911,"gmst","gcam xmldb"
"degreesC","GCAM_2p6_open",2072,1.46833,"gmst","gcam xmldb"
"degreesC","GCAM_2p6_open",2073,1.46747,"gmst","gcam xmldb"
"degreesC","GCAM_2p6_open",2074,1.46653,"gmst","gcam xmldb"
"degreesC","GCAM_2p6_open",2075,1.46554,"gmst","gcam xmldb"
"degreesC","GCAM_2p6_open",2076,1.46448,"gmst","gcam xmldb"
"degreesC","GCAM_2p6_open",2077,1.46334,"gmst","gcam xmldb"
"degreesC","GCAM_2p6_open",2078,1.46214,"gmst","gcam xmldb"
"degreesC","GCAM_2p6_open",2079,1.46089,"gmst","gcam xmldb"
"degreesC","GCAM_2p6_open",2080,1.4596,"gmst","gcam xmldb"
"degreesC","GCAM_2p6_open",2081,1.45824,"gmst","gcam xmldb"
"degreesC","GCAM_2p6_open",2082,1.4568,"gmst","gcam xmldb"
"degreesC","GCAM_2p6_open",2083,1.45531,"gmst","gcam xmldb"
"degreesC","GCAM_2p6_open",2084,1.45376,"gmst","gcam xmldb"
"degreesC","GCAM_2p6_open",2085,1.45217,"gmst","gcam xmldb"
"degreesC","GCAM_2p6_open",2086,1.4505,"gmst","gcam xmldb"
"degreesC","GCAM_2p6_open",2087,1.44875,"gmst","gcam xmldb"
"degreesC","GCAM_2p6_open",2088,1.44695,"gmst","gcam xmldb"
"degreesC","GCAM_2p6_open",2089,1.44508,"gmst","gcam xmldb"
"degreesC","GCAM_2p6_open",2090,1.44316,"gmst","gcam xmldb"
"degreesC","GCAM_2p6_open",2091,1.44118,"gmst","gcam xmldb"
"degreesC","GCAM_2p6_open",2092,1.43909,"gmst","gcam xmldb"
"degreesC","GCAM_2p6_open",2093,1.43691,"gmst","gcam xmldb"
"degreesC","GCAM_2p6_open",2094,1.43466,"gmst","gcam xmldb"
"degreesC","GCAM_2p6_open",2095,1.43234,"gmst","gcam xmldb"
"degreesC","GCAM_2p6_open",2096,1.42993,"gmst","gcam xmldb"
"degreesC","GCAM_2p6_open",2097,1.42745,"gmst","gcam xmldb"
"degreesC","GCAM_2p6_open",2098,1.42489,"gmst","gcam xmldb"
"degreesC","GCAM_2p6_open",2099,1.42226,"gmst","gcam xmldb"
"degreesC","GCAM_2p6_open",2100,1.41957,"gmst","gcam xmldb"
"PPM","GCAM_SSP1",1976,334.97,"CO2_concentration","gcam xmldb"
"PPM","GCAM_SSP1",1977,336.335,"CO2_concentration","gcam xmldb"
"PPM","GCAM_SSP1",1978,337.769,"CO2_concentration","gcam xmldb"
"PPM","GCAM_SSP1",1979,339.249,"CO2_concentration","gcam xmldb"
"PPM","GCAM_SSP1",1980,340.738,"CO2_concentration","gcam xmldb"
"PPM","GCAM_SSP1",1981,342.148,"CO2_concentration","gcam xmldb"
"PPM","GCAM_SSP1",1982,343.482,"CO2_concentration","gcam xmldb"
"PPM","GCAM_SSP1",1983,344.741,"CO2_concentration","gcam xmldb"
"PPM","GCAM_SSP1",1984,345.996,"CO2_concentration","gcam xmldb"
"PPM","GCAM_SSP1",1985,347.319,"CO2_concentration","gcam xmldb"
"PPM","GCAM_SSP1",1986,348.696,"CO2_concentration","gcam xmldb"
"PPM","GCAM_SSP1",1987,350.124,"CO2_concentration","gcam xmldb"
"PPM","GCAM_SSP1",1988,351.598,"CO2_concentration","gcam xmldb"
"PPM","GCAM_SSP1",1989,353.139,"CO2_concentration","gcam xmldb"
"PPM","GCAM_SSP1",1990,354.699,"CO2_concentration","gcam xmldb"
"PPM","GCAM_SSP1",1991,356.182,"CO2_concentration","gcam xmldb"
"PPM","GCAM_SSP1",1992,357.664,"CO2_concentration","gcam xmldb"
"PPM","GCAM_SSP1",1993,358.931,"CO2_concentration","gcam xmldb"
"PPM","GCAM_SSP1",1994,360.133,"CO2_concentration","gcam xmldb"
"PPM","GCAM_SSP1",1995,361.45,"CO2_concentration","gcam xmldb"
"PPM","GCAM_SSP1",1996,362.886,"CO2_concentration","gcam xmldb"
"PPM","GCAM_SSP1",1997,364.404,"CO2_concentration","gcam xmldb"
"PPM","GCAM_SSP1",1998,366.294,"CO2_concentration","gcam xmldb"
"PPM","GCAM_SSP1",1999,367.917,"CO2_concentration","gcam xmldb"
"PPM","GCAM_SSP1",2000,369.501,"CO2_concentration","gcam xmldb"
"PPM","GCAM_SSP1",2001,371.171,"CO2_concentration","gcam xmldb"
"PPM","GCAM_SSP1",2002,372.769,"CO2_concentration","gcam xmldb"
"PPM","GCAM_SSP1",2003,374.478,"CO2_concentration","gcam xmldb"
"PPM","GCAM_SSP1",2004,376.248,"CO2_concentration","gcam xmldb"
"PPM","GCAM_SSP1",2005,378.246,"CO2_concentration","gcam xmldb"
"PPM","GCAM_SSP1",2006,380.223,"CO2_concentration","gcam xmldb"
"PPM","GCAM_SSP1",2007,382.358,"CO2_concentration","gcam xmldb"
"PPM","GCAM_SSP1",2008,384.627,"CO2_concentration","gcam xmldb"
"PPM","GCAM_SSP1",2009,387.026,"CO2_concentration","gcam xmldb"
"PPM","GCAM_SSP1",2010,389.545,"CO2_concentration","gcam xmldb"
"PPM","GCAM_SSP1",2011,392.185,"CO2_concentration","gcam xmldb"
"PPM","GCAM_SSP1",2012,394.999,"CO2_concentration","gcam xmldb"
"PPM","GCAM_SSP1",2013,397.88,"CO2_concentration","gcam xmldb"
"PPM","GCAM_SSP1",2014,400.833,"CO2_concentration","gcam xmldb"
"PPM","GCAM_SSP1",2015,403.851,"CO2_concentration","gcam xmldb"
"PPM","GCAM_SSP1",2016,406.933,"CO2_concentration","gcam xmldb"
"PPM","GCAM_SSP1",2017,409.477,"CO2_concentration","gcam xmldb"
"PPM","GCAM_SSP1",2018,412.02,"CO2_concentration","gcam xmldb"
"PPM","GCAM_SSP1",2019,414.561,"CO2_concentration","gcam xmldb"
"PPM","GCAM_SSP1",2020,417.103,"CO2_concentration","gcam xmldb"
"PPM","GCAM_SSP1",2021,419.645,"CO2_concentration","gcam xmldb"
"PPM","GCAM_SSP1",2022,422.189,"CO2_concentration","gcam xmldb"
"PPM","GCAM_SSP1",2023,424.944,"CO2_concentration","gcam xmldb"
"PPM","GCAM_SSP1",2024,427.763,"CO2_concentration","gcam xmldb"
"PPM","GCAM_SSP1",2025,430.647,"CO2_concentration","gcam xmldb"
"PPM","GCAM_SSP1",2026,433.599,"CO2_concentration","gcam xmldb"
"PPM","GCAM_SSP1",2027,436.4,"CO2_concentration","gcam xmldb"
"PPM","GCAM_SSP1",2028,439.201,"CO2_concentration","gcam xmldb"
"PPM","GCAM_SSP1",2029,442.002,"CO2_concentration","gcam xmldb"
"PPM","GCAM_SSP1",2030,444.803,"CO2_concentration","gcam xmldb"
"PPM","GCAM_SSP1",2031,447.605,"CO2_concentration","gcam xmldb"
"PPM","GCAM_SSP1",2032,450.363,"CO2_concentration","gcam xmldb"
"PPM","GCAM_SSP1",2033,453.11,"CO2_concentration","gcam xmldb"
"PPM","GCAM_SSP1",2034,455.849,"CO2_concentration","gcam xmldb"
"PPM","GCAM_SSP1",2035,458.58,"CO2_concentration","gcam xmldb"
"PPM","GCAM_SSP1",2036,461.304,"CO2_concentration","gcam xmldb"
"PPM","GCAM_SSP1",2037,463.963,"CO2_concentration","gcam xmldb"
"PPM","GCAM_SSP1",2038,466.603,"CO2_concentration","gcam xmldb"
"PPM","GCAM_SSP1",2039,469.223,"CO2_concentration","gcam xmldb"
"PPM","GCAM_SSP1",2040,471.826,"CO2_concentration","gcam xmldb"
"PPM","GCAM_SSP1",2041,474.412,"CO2_concentration","gcam xmldb"
"PPM","GCAM_SSP1",2042,476.938,"CO2_concentration","gcam xmldb"
"PPM","GCAM_SSP1",2043,479.444,"CO2_concentration","gcam xmldb"
"PPM","GCAM_SSP1",2044,481.93,"CO2_concentration","gcam xmldb"
"PPM","GCAM_SSP1",2045,484.398,"CO2_concentration","gcam xmldb"
"PPM","GCAM_SSP1",2046,486.839,"CO2_concentration","gcam xmldb"
"PPM","GCAM_SSP1",2047,489.267,"CO2_concentration","gcam xmldb"
"PPM","GCAM_SSP1",2048,491.675,"CO2_concentration","gcam xmldb"
"PPM","GCAM_SSP1",2049,494.065,"CO2_concentration","gcam xmldb"
"PPM","GCAM_SSP1",2050,496.44,"CO2_concentration","gcam xmldb"
"PPM","GCAM_SSP1",2051,498.801,"CO2_concentration","gcam xmldb"
"PPM","GCAM_SSP1",2052,501.143,"CO2_concentration","gcam xmldb"
"PPM","GCAM_SSP1",2053,503.473,"CO2_concentration","gcam xmldb"
"PPM","GCAM_SSP1",2054,505.79,"CO2_concentration","gcam xmldb"
"PPM","GCAM_SSP1",2055,508.096,"CO2_concentration","gcam xmldb"
"PPM","GCAM_SSP1",2056,510.39,"CO2_concentration","gcam xmldb"
"PPM","GCAM_SSP1",2057,512.638,"CO2_concentration","gcam xmldb"
"PPM","GCAM_SSP1",2058,514.876,"CO2_concentration","gcam xmldb"
"PPM","GCAM_SSP1",2059,517.104,"CO2_concentration","gcam xmldb"
"PPM","GCAM_SSP1",2060,519.325,"CO2_concentration","gcam xmldb"
"PPM","GCAM_SSP1",2061,521.537,"CO2_concentration","gcam xmldb"
